LAT;LON;SPEED;ACCURACY;ALTITUDE;HEADING;TIME;ACTIVITY
59.66423331;10.78848383;1.54999995232;3.0;142.0;85.0;1486135984.12;gar
59.66423487;10.78855816;1.47000002861;3.0;142.0;85.8000030518;1486135987.26;gar
59.6642452;10.78864645;1.60000002384;3.0;141.0;79.5;1486135990.2;gar
59.66423596;10.78873769;1.60000002384;3.0;141.0;94.6999969482;1486135993.21;gar
59.66423788;10.78881404;1.47000002861;3.0;141.0;90.3000030518;1486135996.18;gar
59.66424676;10.78889353;01.mai;3.0;140.0;86.1999969482;1486135999.19;gar
59.66424914;10.788977;1.57000005245;3.0;140.0;85.8000030518;1486136002.21;gar
59.66425287;10.78905276;01.mai;3.0;140.0;85.5;1486136005.09;gar
59.66426775;10.7891299;1.57000005245;3.0;141.0;82.9000015259;1486136008.14;gar
59.66427101;10.78920487;01.mai;3.0;141.0;77.0;1486136011.12;gar
59.66428088;10.78929054;1.62000000477;3.0;140.0;73.0999984741;1486136014.22;gar
59.66428997;10.78936768;1.34000003338;3.0;141.0;81.1999969482;1486136017.2;gar
59.66431242;10.78942773;01.mai;3.0;139.0;65.5;1486136020.19;gar
59.66434321;10.78948371;1.42999994755;3.0;139.0;33.0999984741;1486136023.17;gar
59.66437982;10.7894917;1.55999994278;3.0;139.0;8.89999961853;1486136026.17;gar
59.66442433;10.78948364;1.62999999523;4.0;139.0;356.299987793;1486136029.17;gar
59.66446305;10.78947821;1.05999994278;3.0;138.0;358.399993896;1486136032.12;gar
59.66450733;10.78947818;0.930000007153;3.0;138.0;2.29999995232;1486136035.15;gar
59.66454918;10.78945973;1.30999994278;4.0;140.0;1.39999997616;1486136038.21;gar
59.66459092;10.78946626;0.560000002384;3.0;142.0;357.0;1486136042.2;gar
59.66464261;10.78949511;0.569999992847;15.0;139.0;357.0;1486136059.17;rema
59.66458623;10.78953928;0.519999980927;15.0;139.0;357.0;1486136064.18;rema
59.66462602;10.78953933;0.34999999404;20.0;139.0;357.0;1486136071.23;rema
59.66466421;10.78952137;0.649999976158;20.0;139.0;357.0;1486136073.16;rema
59.66469132;10.7894531;0.949999988079;17.0;138.0;357.0;1486136074.25;rema
59.66471898;10.78939179;1.25999999046;13.0;138.0;357.0;1486136075.21;rema
59.66474874;10.78929535;1.35000002384;13.0;137.0;357.0;1486136077.16;rema
59.664747;10.78921834;0.819999992847;17.0;137.0;357.0;1486136081.16;rema
59.66479591;10.78920505;1.14999997616;16.0;137.0;357.0;1486136082.28;rema
59.66477611;10.78913667;1.01999998093;16.0;137.0;357.0;1486136084.18;rema
59.66482503;10.78907488;0.670000016689;16.0;136.0;357.0;1486136086.15;rema
59.66485887;10.78912941;0.370000004768;16.0;137.0;357.0;1486136089.44;rema
59.6649152;10.78912748;1.20000004768;15.0;137.0;357.0;1486136092.4;rema
59.66489912;10.7891992;0.579999983311;25.0;138.0;357.0;1486136101.75;rema
59.6651664;10.78938674;1.39999997616;43.0;139.0;41.0;1486136112.28;rema
59.66439712;10.78962498;0.0;20.0;150.0;0.0;1486136738.18;rema
59.66448222;10.78955981;1.11000001431;10.0;143.0;251.699996948;1486136740.68;rema
59.66453096;10.7895189;1.24000000954;7.0;138.0;251.699996948;1486136741.1;rema
59.6644785;10.78952936;1.37999999523;3.0;142.0;173.0;1486136750.21;gar
59.66443909;10.78954061;1.40999996662;3.0;142.0;171.699996948;1486136753.17;gar
59.66439482;10.78953547;1.27999997139;3.0;141.0;175.399993896;1486136757.1;gar
59.66434842;10.78954231;1.37999999523;3.0;140.0;173.0;1486136761.2;gar
59.66431253;10.78952409;1.55999994278;3.0;140.0;200.800003052;1486136764.16;gar
59.66430468;10.78943243;1.37999999523;3.0;141.0;235.100006104;1486136769.54;gar
59.66428867;10.78935409;1.37999999523;3.0;140.0;254.600006104;1486136772.17;gar
59.66427815;10.78926971;1.54999995232;3.0;140.0;252.0;1486136775.19;gar
59.66426738;10.78919025;1.33000004292;3.0;140.0;267.0;1486136778.15;gar
59.66425012;10.78910409;1.25999999046;3.0;140.0;257.799987793;1486136781.11;gar
59.66423893;10.78901672;1.32000005245;3.0;139.0;257.5;1486136784.1;gar
59.66423417;10.78893734;1.35000002384;3.0;139.0;260.600006104;1486136787.13;gar
59.66423038;10.78885674;1.15999996662;3.0;139.0;265.5;1486136790.1;gar
59.66422324;10.78875814;1.39999997616;4.0;140.0;270.899993896;1486136794.15;gar
59.66422003;10.78868412;1.36000001431;3.0;140.0;277.600006104;1486136797.17;gar
59.66422421;10.78859494;1.28999996185;3.0;141.0;260.200012207;1486136801.18;gar
59.66421421;10.78851303;1.95000004768;3.0;140.0;255.899993896;1486136804.13;gar
59.6642159;10.78844015;1.39999997616;4.0;138.0;265.799987793;1486136807.12;gar
59.66421867;10.78834714;1.37000000477;3.0;140.0;264.200012207;1486136811.35;gar
59.66421519;10.7882739;1.48000001907;3.0;141.0;270.399993896;1486136814.15;gar
59.66421984;10.78819193;1.40999996662;3.0;141.0;271.299987793;1486136817.21;gar
59.66421133;10.78810052;1.35000002384;4.0;141.0;269.100006104;1486136821.21;gar
59.66419565;10.78803074;1.37999999523;3.0;142.0;268.100006104;1486136824.18;gar
59.66419617;10.78794954;1.38999998569;3.0;143.0;272.0;1486136827.1;gar
59.66418421;10.78785746;1.22000002861;3.0;143.0;274.700012207;1486136831.18;gar
59.66417837;10.78777763;1.20000004768;3.0;141.0;266.600006104;1486136834.15;gar
59.66417756;10.78770403;1.32000005245;3.0;142.0;265.399993896;1486136837.13;gar
59.66416946;10.78761004;1.52999997139;3.0;141.0;267.799987793;1486136840.1;gar
59.66416533;10.7875365;1.49000000954;4.0;142.0;264.5;1486136843.17;gar
59.66415498;10.78745402;1.37000000477;3.0;143.0;274.100006104;1486136846.19;gar
59.66415286;10.78737868;1.42999994755;3.0;144.0;263.700012207;1486136849.26;gar
59.6641465;10.78728839;1.73000001907;4.0;144.0;255.699996948;1486136852.49;gar
59.66415029;10.78719687;1.50999999046;3.0;144.0;283.399993896;1486136856.16;gar
59.66415765;10.78710843;1.41999995708;3.0;144.0;278.299987793;1486136859.14;gar
59.66417402;10.78703499;1.52999997139;3.0;143.0;289.5;1486136862.28;gar
59.66419053;10.78695108;1.33000004292;3.0;144.0;287.600006104;1486136866.2;gar
59.66420387;10.78685924;2.01999998093;4.0;143.0;286.600006104;1486136875.33;gar
59.66420936;10.78677187;1.22000002861;4.0;144.0;286.600006104;1486136875.54;gar
59.66421888;10.78669061;1.69000005722;3.0;144.0;298.0;1486136876.28;gar
59.66422879;10.78660701;1.55999994278;3.0;144.0;272.5;1486136879.38;gar
59.66422113;10.78650835;1.69000005722;3.0;142.0;267.600006104;1486136884.18;gar
59.66190219;10.77717337;1.45000004768;3.0;138.0;248.100006104;1486137310.15;gar
59.66188308;10.77710516;1.38999998569;3.0;138.0;244.0;1486137313.11;gar
59.66185922;10.77703978;1.53999996185;4.0;138.0;240.0;1486137316.15;gar
59.66183571;10.77696059;1.47000002861;3.0;139.0;237.0;1486137320.25;gar
59.66181196;10.77687972;1.50999999046;3.0;138.0;240.800003052;1486137324.23;gar
59.66178995;10.77680627;1.54999995232;3.0;137.0;235.5;1486137327.15;gar
59.66176784;10.77673749;1.51999998093;3.0;137.0;238.5;1486137330.14;gar
59.66174158;10.77666141;1.48000001907;3.0;137.0;233.199996948;1486137333.11;gar
