bla 59.66462775 10.78025578 1.80999994278 4.0 140.0 132.100006104 1486223476.22 ute gar 
bla 59.66461034 10.7803288 1.58000004292 3.0 140.0 126.199996948 1486223479.15 ute gar 
bla 59.66460966 10.7804044 1.53999996185 3.0 141.0 122.800003052 1486223482.19 ute gar 
bla 59.66459273 10.78048529 1.01999998093 3.0 140.0 121.900001526 1486223486.23 ute gar 
bla 59.66457155 10.78055389 1.84000003338 4.0 141.0 123.300003052 1486223489.11 ute gar 
bla 59.66454653 10.78060546 1.53999996185 4.0 141.0 125.599998474 1486223494.01 ute gar 
bla 59.66452907 10.78069715 1.65999996662 3.0 139.0 137.399993896 1486223496.18 ute gar 
bla 59.66452141 10.78078069 1.32000005245 3.0 139.0 116.699996948 1486223500.13 ute gar 
bla 59.66450069 10.78086097 1.24000000954 3.0 139.0 126.800003052 1486223504.12 ute gar 
bla 59.66447606 10.78091495 1.35000002384 3.0 139.0 121.400001526 1486223507.25 ute gar 
bla 59.66444395 10.78098531 1.72000002861 3.0 139.0 134.800003052 1486223510.12 ute gar 
bla 59.66441106 10.78103644 1.48000001907 4.0 138.0 128.199996948 1486223513.21 ute gar 
bla 59.66438566 10.78108665 1.40999996662 3.0 136.0 117.0 1486223516.23 ute gar 
bla 59.66435962 10.78114655 1.62999999523 4.0 137.0 128.5 1486223519.17 ute gar 
bla 59.66434025 10.78121618 1.65999996662 3.0 138.0 125.599998474 1486223522.17 ute gar 
bla 59.66432865 10.78128543 1.38999998569 3.0 138.0 118.0 1486223525.1 ute gar 
bla 59.66431617 10.7813636 1.50999999046 3.0 138.0 114.699996948 1486223528.2 ute gar 
bla 59.66430656 10.78144365 1.53999996185 4.0 138.0 96.9000015259 1486223532.24 ute gar 
bla 59.66429377 10.78153075 1.51999998093 3.0 140.0 105.5 1486223535.13 ute gar 
bla 59.66428395 10.78160706 1.37999999523 3.0 139.0 94.0999984741 1486223538.18 ute gar 
bla 59.66427261 10.7816897 1.45000004768 3.0 139.0 112.5 1486223541.16 ute gar 
bla 59.66425972 10.78176816 1.47000002861 3.0 139.0 92.0999984741 1486223544.16 ute gar 
bla 59.664247 10.7818575 1.29999995232 4.0 140.0 105.699996948 1486223547.24 ute gar 
bla 59.66423988 10.78193908 1.70000004768 3.0 141.0 99.4000015259 1486223550.11 ute gar 
bla 59.66423237 10.78202679 1.69000005722 4.0 143.0 103.800003052 1486223553.16 ute gar 
bla 59.66423452 10.78210741 1.07000005245 4.0 144.0 85.5999984741 1486223557.22 ute gar 
bla 59.66423495 10.78219536 1.46000003815 3.0 145.0 84.9000015259 1486223560.16 ute gar 
bla 59.66423823 10.7822715 1.50999999046 4.0 145.0 82.0 1486223563.14 ute gar 
bla 59.66422596 10.78235 1.35000002384 4.0 144.0 110.300003052 1486223566.12 ute gar 
bla 59.66423053 10.78242208 1.47000002861 4.0 145.0 94.5999984741 1486223569.12 ute gar 
bla 59.66422862 10.78249778 1.30999994278 3.0 147.0 88.6999969482 1486223572.18 ute gar 
bla 59.66422784 10.78257748 1.55999994278 4.0 147.0 92.6999969482 1486223575.2 ute gar 
bla 59.66425039 10.78263897 1.23000001907 4.0 147.0 87.8000030518 1486223579.15 ute gar 
bla 59.66424769 10.78271168 1.42999994755 3.0 149.0 88.3000030518 1486223582.14 ute gar 
bla 59.66424647 10.78280572 1.52999997139 3.0 151.0 95.9000015259 1486223586.18 ute gar 
bla 59.66424425 10.78289414 1.75 4.0 152.0 96.6999969482 1486223589.14 ute gar 
bla 59.66424364 10.78298316 1.45000004768 4.0 153.0 82.9000015259 1486223592.13 ute gar 
bla 59.66426987 10.78304071 1.50999999046 4.0 153.0 63.5 1486223595.14 ute gar 
bla 59.66429105 10.78312493 1.25999999046 5.0 155.0 74.0 1486223599.16 ute gar 
bla 59.66427878 10.78322898 1.53999996185 4.0 156.0 87.0999984741 1486223602.15 ute gar 
bla 59.66427245 10.78331579 1.46000003815 4.0 156.0 89.5 1486223605.17 ute gar 
bla 59.66427379 10.7833899 1.30999994278 4.0 157.0 82.5 1486223608.19 ute gar 
bla 59.6642816 10.78346977 1.35000002384 3.0 158.0 81.4000015259 1486223611.15 ute gar 
bla 59.66428403 10.78354515 1.55999994278 3.0 158.0 80.6999969482 1486223614.17 ute gar 
bla 59.66428694 10.7836283 1.38999998569 3.0 159.0 82.5 1486223617.19 ute gar 
bla 59.66429066 10.78371498 1.23000001907 3.0 159.0 73.8000030518 1486223620.21 ute gar 
bla 59.66428607 10.78380807 1.70000004768 4.0 159.0 93.5999984741 1486223623.15 ute gar 
bla 59.66428489 10.78389015 1.58000004292 5.0 160.0 89.4000015259 1486223636.86 ute gar 
bla 59.66428948 10.78397587 1.85000002384 5.0 162.0 81.4000015259 1486223637.46 ute gar 
bla 59.664302 10.7840548 1.61000001431 6.0 164.0 86.9000015259 1486223638.25 ute gar 
bla 59.66429675 10.78412735 1.28999996185 3.0 164.0 81.0999984741 1486223638.64 ute gar 
bla 59.66429996 10.78420539 1.30999994278 3.0 162.0 83.0999984741 1486223638.98 ute gar 
bla 59.66431888 10.78427437 1.29999995232 4.0 160.0 85.6999969482 1486223641.16 ute gar 
bla 59.66432119 10.78435056 1.5 3.0 156.0 91.4000015259 1486223654.64 ute gar 
bla 59.66432304 10.78443294 1.59000003338 4.0 152.0 94.5 1486223655.12 ute gar 
bla 59.66430688 10.784497 1.23000001907 4.0 151.0 115.699996948 1486223655.39 ute gar 
bla 59.6642793 10.78454392 2.3599998951 4.0 151.0 131.699996948 1486223655.55 ute gar 
bla 59.66424181 10.78455658 1.67999994755 3.0 147.0 170.5 1486223659.21 ute gar 
bla 59.66420581 10.78458252 1.54999995232 4.0 146.0 136.199996948 1486223662.2 ute gar 
bla 59.66417417 10.78461767 1.32000005245 4.0 145.0 137.5 1486223665.21 ute gar 
bla 59.66415707 10.78470272 1.48000001907 3.0 146.0 101.0 1486223668.23 ute gar 
